dataset,rep,corr_method,penalty_agg,corr_scope,fit_seconds,accuracy,macro_f1,auc
WDBC,0,pearson,product,global,0.03091580000182148,0.935672514619883,0.9311115180369895,0.9549503504672897
WDBC,0,spearman,product,global,0.03283939999528229,0.935672514619883,0.9311115180369895,0.9509345794392523
WDBC,0,pearson,min,global,0.02996629998960998,0.935672514619883,0.9311115180369895,0.9477219626168224
WDBC,0,pearson,mean,global,0.031568499995046295,0.935672514619883,0.9311115180369895,0.9549503504672897
WDBC,0,pearson,product,node,0.03083229999174364,0.935672514619883,0.9311115180369895,0.9477219626168224
WDBC,1,pearson,product,global,0.025812699997914024,0.8947368421052632,0.8876314252336448,0.9058849299065421
WDBC,1,spearman,product,global,0.03152369998861104,0.9005847953216374,0.891290527654164,0.8957359813084111
WDBC,1,pearson,min,global,0.02763879999110941,0.9122807017543859,0.9047778149014367,0.9450204439252337
WDBC,1,pearson,mean,global,0.030878699995810166,0.9122807017543859,0.9033425029204507,0.9036214953271029
WDBC,1,pearson,product,node,0.029090100011671893,0.9298245614035088,0.9240899674459899,0.9412237149532712
WDBC,2,pearson,product,global,0.03142699999443721,0.9473684210526315,0.9439895185063871,0.966632593457944
WDBC,2,spearman,product,global,0.033607200006372295,0.9473684210526315,0.9439895185063871,0.9623977803738317
WDBC,2,pearson,min,global,0.031174100004136562,0.9473684210526315,0.9439895185063871,0.966632593457944
WDBC,2,pearson,mean,global,0.03292199999850709,0.9473684210526315,0.9439895185063871,0.966632593457944
WDBC,2,pearson,product,node,0.03363069999613799,0.9473684210526315,0.9439895185063871,0.966632593457944
WDBC,3,pearson,product,global,0.030822600005194545,0.8888888888888888,0.8853604318831375,0.9583820093457944
WDBC,3,spearman,product,global,0.032995200002915226,0.9181286549707602,0.9149616368286445,0.9638580607476636
WDBC,3,pearson,min,global,0.036421400000108406,0.9122807017543859,0.9086701085988962,0.9639310747663552
WDBC,3,pearson,mean,global,0.03588110000418965,0.9239766081871345,0.9204508856682769,0.9512266355140186
WDBC,3,pearson,product,node,0.03450900000461843,0.9590643274853801,0.9561618751144478,0.9507155373831776
WDBC,4,pearson,product,global,0.03310810000402853,0.9298245614035088,0.9259740259740259,0.9534170560747663
WDBC,4,spearman,product,global,0.03599360000225715,0.9298245614035088,0.9259740259740259,0.9534170560747663
WDBC,4,pearson,min,global,0.033980799998971634,0.9239766081871345,0.9195759921855216,0.947429906542056
WDBC,4,pearson,mean,global,0.0344626000005519,0.9239766081871345,0.9190959711758926,0.9434141355140186
WDBC,4,pearson,product,node,0.03264580000541173,0.935672514619883,0.9315427448411399,0.9632009345794392
WDBC,5,pearson,product,global,0.024051300002611242,0.9181286549707602,0.9126022196261683,0.9489632009345794
WDBC,5,spearman,product,global,0.02708580000034999,0.9181286549707602,0.9126022196261683,0.9461156542056075
WDBC,5,pearson,min,global,0.025981700004194863,0.9181286549707602,0.9136363636363636,0.9495473130841122
WDBC,5,pearson,mean,global,0.027431499998783693,0.9181286549707602,0.9136363636363636,0.9495473130841122
WDBC,5,pearson,product,node,0.027266000004601665,0.9239766081871345,0.9195759921855216,0.952248831775701
WDBC,6,pearson,product,global,0.03185929999744985,0.9064327485380117,0.9028132992327366,0.9247955607476636
WDBC,6,spearman,product,global,0.034236799998325296,0.9064327485380117,0.9028132992327366,0.9247955607476636
WDBC,6,pearson,min,global,0.030585600004997104,0.9064327485380117,0.9028132992327366,0.9242114485981309
WDBC,6,pearson,mean,global,0.03600779999396764,0.9181286549707602,0.9149616368286445,0.9335572429906542
WDBC,6,pearson,product,node,0.029720699996687472,0.935672514619883,0.931948916464672,0.9596232476635514
WDBC,7,pearson,product,global,0.026216899990686215,0.9590643274853801,0.9561618751144478,0.9617406542056074
WDBC,7,spearman,product,global,0.02678830000513699,0.9707602339181286,0.968479262672811,0.9626168224299064
WDBC,7,pearson,min,global,0.02671199999167584,0.9590643274853801,0.9561618751144478,0.961448598130841
WDBC,7,pearson,mean,global,0.028042699996149167,0.9590643274853801,0.9561618751144478,0.9617406542056074
WDBC,7,pearson,product,node,0.025261100003262982,0.9532163742690059,0.9493933116306599,0.9647342289719626
WDBC,8,pearson,product,global,0.028387900005327538,0.9005847953216374,0.8928294930875575,0.9372079439252337
WDBC,8,spearman,product,global,0.028017600008752197,0.9415204678362573,0.9379535558780843,0.9423919392523363
WDBC,8,pearson,min,global,0.02702500000305008,0.8947368421052632,0.8869047619047619,0.9375730140186915
WDBC,8,pearson,mean,global,0.028408600002876483,0.9005847953216374,0.8928294930875575,0.9389602803738317
WDBC,8,pearson,product,node,0.028350599997793324,0.9005847953216374,0.8928294930875575,0.9399824766355139
WDBC,9,pearson,product,global,0.034421399992424995,0.9064327485380117,0.8972972972972972,0.9308557242990655
WDBC,9,spearman,product,global,0.03431540000019595,0.8947368421052632,0.8883164005805515,0.9564106308411215
WDBC,9,pearson,min,global,0.02906000000075437,0.9239766081871345,0.9190959711758926,0.9744450934579441
WDBC,9,pearson,mean,global,0.027832599997054785,0.9181286549707602,0.9131349782293179,0.9688960280373832
WDBC,9,pearson,product,node,0.032344999999622814,0.9239766081871345,0.9180460829493088,0.9540011682242993
Synthetic,0,pearson,product,global,0.06816339999204502,0.7533333333333333,0.7532894736842105,0.7927631578947368
Synthetic,0,spearman,product,global,0.06811369999195449,0.7533333333333333,0.7532894736842105,0.7956081081081081
Synthetic,0,pearson,min,global,0.0716110000066692,0.76,0.7599039615846338,0.7957859174964437
Synthetic,0,pearson,mean,global,0.07279689999995753,0.8,0.7991071428571428,0.8645759246088193
Synthetic,0,pearson,product,node,0.06962320000457112,0.76,0.7599039615846338,0.7978307254623044
Synthetic,1,pearson,product,global,0.060427899996284395,0.7633333333333333,0.7632675743262017,0.8055876600284495
Synthetic,1,spearman,product,global,0.06286520000139717,0.7633333333333333,0.7632675743262017,0.7939411450924609
Synthetic,1,pearson,min,global,0.06665920000523329,0.74,0.7390606182256123,0.7937411095305832
Synthetic,1,pearson,mean,global,0.06757329999527428,0.82,0.8199919996444287,0.8377933854907538
Synthetic,1,pearson,product,node,0.07207589999597985,0.71,0.7092731829573935,0.79574146514936
Synthetic,2,pearson,product,global,0.07076709999819286,0.7233333333333334,0.7229608696135916,0.7880289829302987
Synthetic,2,spearman,product,global,0.07408520000171848,0.7233333333333334,0.7229608696135916,0.7886290896159316
Synthetic,2,pearson,min,global,0.0742107000114629,0.7233333333333334,0.7229608696135916,0.7886290896159316
Synthetic,2,pearson,mean,global,0.07307369999762159,0.73,0.729924979160878,0.7978084992887624
Synthetic,2,pearson,product,node,0.0759095000103116,0.75,0.7498638147435825,0.808899359886202
Synthetic,3,pearson,product,global,0.06905670001287945,0.7533333333333333,0.7531578011030066,0.814855974395448
Synthetic,3,spearman,product,global,0.06799429999955464,0.74,0.7398959583833533,0.8045874822190611
Synthetic,3,pearson,min,global,0.06832729998859577,0.76,0.7597330367074526,0.818545519203414
Synthetic,3,pearson,mean,global,0.07328229999984615,0.7366666666666667,0.7341827521618681,0.8002311522048364
