rho,alpha,rep,method,accuracy,macro_f1,auc,signal_recovery_rate,copy_dilution,root_feature
0.7,0.0,0,CART,0.8066666666666666,0.806658073692164,0.8468616642958748,0.8,0.2187188136488717,0
0.7,0.0,0,RRF-style,0.8066666666666666,0.8064516129032258,0.8414162517780939,0.8,0.20264387104284268,0
0.7,0.0,0,ACP-Gini,0.8066666666666666,0.806658073692164,0.8468616642958748,0.8,0.2187188136488717,0
0.7,0.2,0,ACP-Gini,0.8066666666666666,0.806658073692164,0.8309254978662873,0.8,0.2508353190809168,0
0.7,0.4,0,ACP-Gini,0.8166666666666667,0.8166483314998166,0.8132112375533429,0.6,0.29315228331079013,0
0.7,0.6,0,ACP-Gini,0.7866666666666666,0.7866666666666666,0.7933854907539118,0.6,0.27840778907444763,0
0.7,0.8,0,ACP-Gini,0.7933333333333333,0.7933333333333333,0.796852773826458,0.6,0.2510808035489168,0
0.7,1.0,0,ACP-Gini,0.7666666666666667,0.765823631740934,0.8063878022759602,0.6,0.1724356679771795,0
0.7,0.0,1,CART,0.77,0.7631551848419318,0.7912930416068866,0.8,0.19004128416566138,0
0.7,0.0,1,RRF-style,0.81,0.8052192138146279,0.8593301649928263,0.8,0.034523695834417986,0
0.7,0.0,1,ACP-Gini,0.77,0.7631551848419318,0.7912930416068866,0.8,0.19004128416566138,0
0.7,0.2,1,ACP-Gini,0.7566666666666667,0.7515626595274019,0.8069180416068867,0.8,0.18702855616719186,0
0.7,0.4,1,ACP-Gini,0.7766666666666666,0.7728274505814939,0.8021879483500717,0.6,0.27330502404564105,0
0.7,0.6,1,ACP-Gini,0.7533333333333333,0.7462857142857142,0.764840387374462,0.6,0.25117935324114304,0
0.7,0.8,1,ACP-Gini,0.75,0.742559983523839,0.7842315279770445,0.6,0.21703361863894458,0
0.7,1.0,1,ACP-Gini,0.7533333333333333,0.7462857142857142,0.7846126255380202,0.6,0.18204206980865797,0
0.7,0.0,2,CART,0.7866666666666666,0.7865148550080057,0.8268367482999244,0.8,0.16194500802278552,0
0.7,0.0,2,RRF-style,0.81,0.8099809980998101,0.8867727454553536,0.8,0.09839402641243487,0
0.7,0.0,2,ACP-Gini,0.7866666666666666,0.7865148550080057,0.8268367482999244,0.8,0.16194500802278552,0
0.7,0.2,2,ACP-Gini,0.7866666666666666,0.7866666666666666,0.8188363927285658,0.6,0.18698367141488387,0
0.7,0.4,2,ACP-Gini,0.76,0.7597330367074526,0.7685008222587671,0.6,0.18596733813104727,0
0.7,0.6,2,ACP-Gini,0.76,0.7599039615846338,0.7757900351126717,0.8,0.17481749796740828,0
0.7,0.8,2,ACP-Gini,0.7566666666666667,0.7565341130170871,0.7721009822658785,0.6,0.1760680842306767,0
0.7,1.0,2,ACP-Gini,0.7566666666666667,0.7565341130170871,0.7716342948575493,0.6,0.16999716789981836,0
0.7,0.0,3,CART,0.78,0.7799119647859143,0.8189379114036649,0.8,0.11181628797269154,0
0.7,0.0,3,RRF-style,0.82,0.8193496587715776,0.8691069204767835,0.8,0.046812488922682374,0
0.7,0.0,3,ACP-Gini,0.78,0.7799119647859143,0.8189379114036649,0.8,0.11181628797269154,0
0.7,0.2,3,ACP-Gini,0.7833333333333333,0.7832153061111049,0.8228518057285181,0.8,0.12473583001956906,0
0.7,0.4,3,ACP-Gini,0.79,0.7898108297467721,0.8416651841309377,0.8,0.10969467974110397,0
0.7,0.6,3,ACP-Gini,0.7733333333333333,0.7729700854700854,0.8016367194449386,0.8,0.0825322454765914,0
0.7,0.8,3,ACP-Gini,0.77,0.7698747095640961,0.8047278064401352,0.8,0.03271072314013888,0
0.7,1.0,3,ACP-Gini,0.77,0.7698747095640961,0.8047278064401352,0.8,0.03271072314013888,0
0.7,0.0,4,CART,0.79,0.7899416504584607,0.8410030678938242,0.8,0.16834355562438574,0
0.7,0.0,4,RRF-style,0.79,0.7899416504584607,0.8342225779200569,0.8,0.23874256710323574,0
0.7,0.0,4,ACP-Gini,0.79,0.7899416504584607,0.8410030678938242,0.8,0.16834355562438574,0
0.7,0.2,4,ACP-Gini,0.7466666666666667,0.7464863903220067,0.7982970966164243,0.8,0.18942227012871035,0
0.7,0.4,4,ACP-Gini,0.7533333333333333,0.7530589543937709,0.8030767862700636,0.8,0.18246707144474528,0
0.7,0.6,4,ACP-Gini,0.7566666666666667,0.7566423308997566,0.7913832199546484,0.8,0.18634869659795028,0
0.7,0.8,4,ACP-Gini,0.7533333333333333,0.753322369883106,0.7826463918900893,0.8,0.1698739859164399,0
0.7,1.0,4,ACP-Gini,0.7533333333333333,0.753322369883106,0.7826463918900893,0.8,0.1698739859164399,0
0.7,0.0,5,CART,0.74,0.7399884439308414,0.7999866642958748,0.6,0.16008911291584874,0
0.7,0.0,5,RRF-style,0.7333333333333333,0.732751325108013,0.8070101351351352,1.0,0.0817517469067567,0
0.7,0.0,5,ACP-Gini,0.74,0.7399884439308414,0.7999866642958748,0.6,0.16008911291584874,0
0.7,0.2,5,ACP-Gini,0.74,0.739814979541007,0.8042318634423897,0.8,0.11890628948526658,0
0.7,0.4,5,ACP-Gini,0.7666666666666667,0.7666251778093883,0.8026315789473685,1.0,0.06808803854898877,0
0.7,0.6,5,ACP-Gini,0.7366666666666667,0.7364294531745237,0.7693145448079659,0.8,0.07759372879624292,0
0.7,0.8,5,ACP-Gini,0.69,0.6898311302820425,0.721105974395448,0.8,0.17970141043899748,0
0.7,1.0,5,ACP-Gini,0.6833333333333333,0.6831608320085379,0.753600640113798,0.8,0.1263263787329769,0
0.7,0.0,6,CART,0.83,0.8299981110901232,0.8782273860398861,0.8,0.09007427814572873,0
0.7,0.0,6,RRF-style,0.8133333333333334,0.8132586367880486,0.8846376424501425,0.8,0.11109005986724016,0
