dataset,alpha,seed,fold,accuracy,macro_f1,auc,set_redundancy,weighted_redundancy
WDBC,0.0,42,0,0.9210526315789473,0.9147486497714998,0.9480838519489028,0.45982996069107684,0.5747660247667089
WDBC,0.2,42,0,0.9122807017543859,0.9074675324675325,0.9664264657713725,0.3064445952390178,0.4279522275104779
WDBC,0.4,42,0,0.9035087719298246,0.8986339018672702,0.9593842122502457,0.24962108769266275,0.28212922534490537
WDBC,0.6,42,0,0.9035087719298246,0.8986339018672702,0.9485751719620047,0.24882747547361256,0.2790747057220495
WDBC,0.8,42,0,0.9210526315789473,0.918796992481203,0.9729773992793973,0.21811086421849554,0.2684876673215251
WDBC,1.0,42,0,0.9210526315789473,0.918796992481203,0.9729773992793973,0.21811086421849554,0.2684876673215251
WDBC,0.0,42,1,0.9035087719298246,0.8946837994457042,0.9297412381264331,0.35662934417792286,0.7696611101148404
WDBC,0.2,42,1,0.8859649122807017,0.8708496732026143,0.9154929577464788,0.27209534897246035,0.6289605343319085
WDBC,0.4,42,1,0.8859649122807017,0.8708496732026143,0.9154929577464788,0.27209534897246035,0.6289605343319085
WDBC,0.6,42,1,0.9035087719298246,0.8934669951575906,0.9472649852603996,0.20847458498868027,0.2501250746377212
WDBC,0.8,42,1,0.8947368421052632,0.8830769230769231,0.9122174909924663,0.2149106622736933,0.2210044007576007
WDBC,1.0,42,1,0.8947368421052632,0.8830769230769231,0.9109073042908613,0.17643763313795371,0.21277208578126758
WDBC,0.0,42,2,0.9298245614035088,0.9220512820512821,0.9327050264550265,0.45519864245380376,0.5888463550855364
WDBC,0.2,42,2,0.9649122807017544,0.9619111259605746,0.9766865079365079,0.3433256876714797,0.380162308765716
WDBC,0.4,42,2,0.9649122807017544,0.9619111259605746,0.9766865079365079,0.3433256876714797,0.380162308765716
WDBC,0.6,42,2,0.9649122807017544,0.9619111259605746,0.9770171957671958,0.3511927484089628,0.34096230917123543
WDBC,0.8,42,2,0.9649122807017544,0.9619111259605746,0.976851851851852,0.26364960665597925,0.2779310777827669
WDBC,1.0,42,2,0.9649122807017544,0.9619111259605746,0.9661044973544974,0.2180032131129236,0.22975202719187107
WDBC,0.0,42,3,0.9298245614035088,0.9265700483091788,0.9606481481481481,0.49932581405257337,0.7166163625754075
WDBC,0.2,42,3,0.9298245614035088,0.9265700483091788,0.9756944444444445,0.39270091996119905,0.7029059737063265
WDBC,0.4,42,3,0.9298245614035088,0.9259740259740259,0.9713955026455027,0.3204524624890078,0.6859858265796756
WDBC,0.6,42,3,0.9122807017543859,0.9082125603864735,0.9593253968253967,0.27227667184397103,0.4296359148525311
WDBC,0.8,42,3,0.9210526315789473,0.9170641015277665,0.9500661375661376,0.306003600995818,0.4337910822351903
WDBC,1.0,42,3,0.9122807017543859,0.9082125603864735,0.9611441798941799,0.28791672365443116,0.4160737484543141
WDBC,0.0,42,4,0.9469026548672567,0.9425813008130082,0.9694835680751175,0.5205283335367202,0.6293884879799336
WDBC,0.2,42,4,0.9469026548672567,0.9425813008130082,0.9557344064386318,0.5205283335367202,0.6321856126318535
WDBC,0.4,42,4,0.9469026548672567,0.9425813008130082,0.9565727699530517,0.439231004537866,0.6181013359169727
WDBC,0.6,42,4,0.9469026548672567,0.9431589537223339,0.960093896713615,0.2961760506696846,0.4559091733401599
WDBC,0.8,42,4,0.9380530973451328,0.9326521924223073,0.931924882629108,0.3210999935123117,0.3743643565555532
WDBC,1.0,42,4,0.8938053097345132,0.8851626016260162,0.897887323943662,0.2412621801450492,0.2561405946270187
WDBC,0.0,43,0,0.9298245614035088,0.9246031746031746,0.9402227317392728,0.3628791637572742,0.5952394387808934
WDBC,0.2,43,0,0.9298245614035088,0.9246031746031746,0.9400589584015723,0.34936012096172037,0.5791278079383553
WDBC,0.4,43,0,0.9385964912280702,0.9343480049362403,0.9412053717654766,0.34936012096172037,0.5487817282623213
