dataset,method,rep,fit_seconds
WDBC,CART,0,0.04782069999782834
WDBC,CART,1,0.03644630000053439
WDBC,CART,2,0.03605290000268724
WDBC,CART,3,0.04929769999580458
WDBC,CART,4,0.046097799990093336
WDBC,CART,5,0.04421829999773763
WDBC,CART,6,0.04298980000021402
WDBC,CART,7,0.041813000003458
WDBC,CART,8,0.047996000008424744
WDBC,CART,9,0.04942339999251999
WDBC,ACP-global,0,0.0504027999995742
WDBC,ACP-global,1,0.03801210000528954
WDBC,ACP-global,2,0.0361898000119254
WDBC,ACP-global,3,0.036034899996593595
WDBC,ACP-global,4,0.035850200001732446
WDBC,ACP-global,5,0.035321599993039854
WDBC,ACP-global,6,0.035737099999096245
WDBC,ACP-global,7,0.03556469999602996
WDBC,ACP-global,8,0.03661370000918396
WDBC,ACP-global,9,0.03809190000174567
WDBC,ACP-node,0,0.03848170000128448
WDBC,ACP-node,1,0.03946970000106376
WDBC,ACP-node,2,0.03929539999808185
WDBC,ACP-node,3,0.037945999996736646
WDBC,ACP-node,4,0.03629410000576172
WDBC,ACP-node,5,0.035661600006278604
WDBC,ACP-node,6,0.037318800008506514
WDBC,ACP-node,7,0.036275400008889847
WDBC,ACP-node,8,0.03548570000566542
WDBC,ACP-node,9,0.03536750000785105
Wine,CART,0,0.0653530999989016
Wine,CART,1,0.06693479999375995
Wine,CART,2,0.0656684999994468
Wine,CART,3,0.0652879999979632
Wine,CART,4,0.0663189000042621
Wine,CART,5,0.07494809999479912
Wine,CART,6,0.07891199999721721
Wine,CART,7,0.06737090001115575
Wine,CART,8,0.07012380000378471
Wine,CART,9,0.07081299999845214
Wine,ACP-global,0,0.08484660000249278
Wine,ACP-global,1,0.09648330000345595
Wine,ACP-global,2,0.08074940000369679
Wine,ACP-global,3,0.07964280000305735
Wine,ACP-global,4,0.07834380000713281
Wine,ACP-global,5,0.09994970000116155
Wine,ACP-global,6,0.1103822000004584
Wine,ACP-global,7,0.1279830999992555
Wine,ACP-global,8,0.08412749999843072
Wine,ACP-global,9,0.07581489998847246
Wine,ACP-node,0,0.08464260000619106
Wine,ACP-node,1,0.08220509999955539
Wine,ACP-node,2,0.082871199992951
Wine,ACP-node,3,0.1309900999913225
Wine,ACP-node,4,0.08736570000473876
Wine,ACP-node,5,0.1224726000073133
Wine,ACP-node,6,0.13857789999747183
Wine,ACP-node,7,0.09433100000023842
Wine,ACP-node,8,0.08349170000292361
Wine,ACP-node,9,0.09170210000593215
Ionosphere,CART,0,0.031224399994243868
Ionosphere,CART,1,0.031185999992885627
Ionosphere,CART,2,0.03199940000195056
Ionosphere,CART,3,0.031032600003527477
Ionosphere,CART,4,0.03653620000113733
Ionosphere,CART,5,0.04696289999992587
Ionosphere,CART,6,0.05457830001250841
Ionosphere,CART,7,0.05825889999687206
Ionosphere,CART,8,0.05033949999778997
Ionosphere,CART,9,0.05188070000440348
Ionosphere,ACP-global,0,0.04887470000539906
Ionosphere,ACP-global,1,0.03758380000363104
Ionosphere,ACP-global,2,0.039015300004393794
Ionosphere,ACP-global,3,0.03614700000616722
Ionosphere,ACP-global,4,0.03612200000497978
Ionosphere,ACP-global,5,0.03616770000371616
Ionosphere,ACP-global,6,0.04989050001313444
Ionosphere,ACP-global,7,0.05210080000688322
Ionosphere,ACP-global,8,0.036898100006510504
Ionosphere,ACP-global,9,0.03705169999739155
