rho,alpha,rep,method,accuracy,macro_f1,auc,signal_recovery_rate,copy_dilution,root_feature,n_nodes,depth
0.7,0.0,0,CART,0.8066666666666666,0.806658073692164,0.8468616642958748,0.8,0.2187188136488717,0,75,6
0.7,0.0,0,RRF-style,0.8066666666666666,0.8064516129032258,0.8414162517780939,0.8,0.20264387104284268,0,69,6
0.7,0.0,0,ACP-Gini,0.8066666666666666,0.806658073692164,0.8468616642958748,0.8,0.2187188136488717,0,75,6
0.7,0.2,0,ACP-Gini,0.8066666666666666,0.8066322901849218,0.8461948790896159,0.8,0.16835136004615484,0,71,6
0.7,0.4,0,ACP-Gini,0.8333333333333334,0.8332666399893291,0.8501289118065434,0.8,0.11778080511959371,0,69,6
0.7,0.6,0,ACP-Gini,0.8333333333333334,0.8332666399893291,0.8432387980085349,0.8,0.11618005870083481,0,67,6
0.7,0.8,0,ACP-Gini,0.85,0.8498648783905515,0.8795119132290186,0.8,0.10685598424226266,0,73,6
0.7,1.0,0,ACP-Gini,0.85,0.8498648783905515,0.8795119132290186,0.8,0.10685598424226266,0,73,6
0.7,0.0,1,CART,0.77,0.7631551848419318,0.7912930416068866,0.8,0.19004128416566138,0,67,6
0.7,0.0,1,RRF-style,0.81,0.8052192138146279,0.8593301649928263,0.8,0.034523695834417986,0,65,6
0.7,0.0,1,ACP-Gini,0.77,0.7631551848419318,0.7912930416068866,0.8,0.19004128416566138,0,67,6
0.7,0.2,1,ACP-Gini,0.76,0.7536945812807883,0.8062679340028693,0.8,0.17371277886450878,0,69,6
0.7,0.4,1,ACP-Gini,0.7633333333333333,0.7573783189620804,0.8201443687230989,0.8,0.1455689879237902,0,67,6
0.7,0.6,1,ACP-Gini,0.7766666666666666,0.7715260017050298,0.8373610114777618,0.8,0.1330774658633524,0,69,6
0.7,0.8,1,ACP-Gini,0.7533333333333333,0.7484020127838977,0.8231034791965566,0.8,0.133880233596946,0,69,6
0.7,1.0,1,ACP-Gini,0.7533333333333333,0.7484020127838977,0.8231034791965566,0.8,0.133880233596946,0,69,6
0.7,0.0,2,CART,0.7866666666666666,0.7865148550080057,0.8268367482999244,0.8,0.16194500802278552,0,71,6
0.7,0.0,2,RRF-style,0.81,0.8099809980998101,0.8867727454553536,0.8,0.09839402641243487,0,69,6
0.7,0.0,2,ACP-Gini,0.7866666666666666,0.7865148550080057,0.8268367482999244,0.8,0.16194500802278552,0,71,6
0.7,0.2,2,ACP-Gini,0.79,0.7899416504584607,0.8331259167074092,0.6,0.15801086132573805,0,71,6
0.7,0.4,2,ACP-Gini,0.7833333333333333,0.7832153061111049,0.8298368816391839,0.6,0.14267725884946536,0,71,6
0.7,0.6,2,ACP-Gini,0.7866666666666666,0.7865812991863412,0.8410818258589271,0.6,0.12770908602679332,0,71,6
0.7,0.8,2,ACP-Gini,0.79,0.7899416504584607,0.8464376194497534,0.6,0.11431593490557429,0,71,6
0.7,1.0,2,ACP-Gini,0.7833333333333333,0.783138157675241,0.8508822614338416,0.6,0.10199005203846732,0,69,6
0.7,0.0,3,CART,0.78,0.7799119647859143,0.8189379114036649,0.8,0.11181628797269154,0,73,6
0.7,0.0,3,RRF-style,0.82,0.8193496587715776,0.8691069204767835,0.8,0.046812488922682374,0,71,6
0.7,0.0,3,ACP-Gini,0.78,0.7799119647859143,0.8189379114036649,0.8,0.11181628797269154,0,73,6
0.7,0.2,3,ACP-Gini,0.7833333333333333,0.7832153061111049,0.8310798790250845,0.8,0.09622096934510385,0,73,6
0.7,0.4,3,ACP-Gini,0.8133333333333334,0.8133250366682965,0.8703077744173635,0.8,0.01245458503128282,0,73,6
0.7,0.6,3,ACP-Gini,0.8033333333333333,0.8033311481238681,0.8679727806440135,0.8,0.01211236341312545,0,73,6
0.7,0.8,3,ACP-Gini,0.8033333333333333,0.8033311481238681,0.8679727806440135,0.8,0.01211236341312545,0,73,6
0.7,1.0,3,ACP-Gini,0.8033333333333333,0.8033311481238681,0.8679727806440135,0.8,0.01211236341312545,0,73,6
0.7,0.0,4,CART,0.79,0.7899416504584607,0.8410030678938242,0.8,0.16834355562438574,0,71,6
0.7,0.0,4,RRF-style,0.79,0.7899416504584607,0.8342225779200569,0.8,0.23874256710323574,0,77,6
0.7,0.0,4,ACP-Gini,0.79,0.7899416504584607,0.8410030678938242,0.8,0.16834355562438574,0,71,6
0.7,0.2,4,ACP-Gini,0.78,0.7799608819345661,0.8237517229113868,0.8,0.1704394622821053,0,71,6
0.7,0.4,4,ACP-Gini,0.79,0.7894736842105263,0.8202169756791606,0.6,0.15965217648912555,0,71,6
0.7,0.6,4,ACP-Gini,0.7933333333333333,0.7930021367521367,0.8286425681383665,0.6,0.1511606026105234,0,71,6
0.7,0.8,4,ACP-Gini,0.7933333333333333,0.7930021367521367,0.8286425681383665,0.6,0.1511606026105234,0,71,6
0.7,1.0,4,ACP-Gini,0.7933333333333333,0.7930021367521367,0.8286425681383665,0.6,0.1511606026105234,0,71,6
0.7,0.0,5,CART,0.74,0.7399884439308414,0.7999866642958748,0.6,0.16008911291584874,0,69,6
0.7,0.0,5,RRF-style,0.7333333333333333,0.732751325108013,0.8070101351351352,1.0,0.0817517469067567,0,69,6
0.7,0.0,5,ACP-Gini,0.74,0.7399884439308414,0.7999866642958748,0.6,0.16008911291584874,0,69,6
0.7,0.2,5,ACP-Gini,0.74,0.7399884439308414,0.7969639046941679,0.6,0.16228980711548352,0,69,6
0.7,0.4,5,ACP-Gini,0.7466666666666667,0.7466666666666667,0.8099884423897581,1.0,0.0761625759747035,0,69,6
0.7,0.6,5,ACP-Gini,0.7466666666666667,0.7466666666666667,0.8132556899004267,1.0,0.06646309190448425,0,69,6
0.7,0.8,5,ACP-Gini,0.7466666666666667,0.7466666666666667,0.8132556899004267,1.0,0.06646309190448425,0,69,6
0.7,1.0,5,ACP-Gini,0.7466666666666667,0.7466666666666667,0.8132556899004267,1.0,0.06646309190448425,0,69,6
0.7,0.0,6,CART,0.83,0.8299981110901232,0.8782273860398861,0.8,0.09007427814572873,0,75,6
0.7,0.0,6,RRF-style,0.8133333333333334,0.8132586367880486,0.8846376424501425,0.8,0.11109005986724016,0,77,6
0.7,0.0,6,ACP-Gini,0.83,0.8299981110901232,0.8782273860398861,0.8,0.09007427814572873,0,75,6
0.7,0.2,6,ACP-Gini,0.84,0.8399715504978662,0.8817663817663819,0.8,0.09866355658384535,0,73,6
0.7,0.4,6,ACP-Gini,0.84,0.8399715504978662,0.8821002492877493,0.8,0.09853635802009997,0,73,6
0.7,0.6,6,ACP-Gini,0.83,0.8299829982998299,0.8871750356125356,0.8,0.06913288708108639,0,75,6
0.7,0.8,6,ACP-Gini,0.83,0.8299829982998299,0.8871750356125356,0.8,0.06913288708108639,0,75,6
0.7,1.0,6,ACP-Gini,0.8333333333333334,0.8333036984352773,0.8861289173789174,1.0,0.05702664869492577,0,73,6
0.7,0.0,7,CART,0.8166666666666667,0.8163217597488618,0.8634161518289702,0.8,0.18722989587095296,0,69,6
0.7,0.0,7,RRF-style,0.8033333333333333,0.8030685699662881,0.8470154229076847,0.8,0.13429626037587875,0,69,6
0.7,0.0,7,ACP-Gini,0.8166666666666667,0.8163217597488618,0.8634161518289702,0.8,0.18722989587095296,0,69,6
0.7,0.2,7,ACP-Gini,0.81,0.8092348196655473,0.8497711009378195,0.8,0.19748637918251963,0,69,6
0.7,0.4,7,ACP-Gini,0.8,0.7989186290718977,0.8380372460998267,0.8,0.1556217304796285,0,69,6
0.7,0.6,7,ACP-Gini,0.8,0.7989186290718977,0.8393261922752122,0.8,0.1503925682459114,0,69,6
0.7,0.8,7,ACP-Gini,0.82,0.8197115384615384,0.8716609627094538,0.8,0.11967869606162931,0,69,6
0.7,1.0,7,ACP-Gini,0.82,0.8197115384615384,0.8709498199919996,0.8,0.11971960485717091,0,69,6
0.7,0.0,8,CART,0.7933333333333333,0.7927438045997504,0.842425859232582,0.6,0.13545654100213608,0,75,6
0.7,0.0,8,RRF-style,0.8166666666666667,0.8160760664801417,0.8535191854519587,0.8,0.08684420258008818,0,83,6
0.7,0.0,8,ACP-Gini,0.7933333333333333,0.7927438045997504,0.842425859232582,0.6,0.13545654100213608,0,75,6
0.7,0.2,8,ACP-Gini,0.7966666666666666,0.7960116373688846,0.8445378151260504,0.6,0.12394501002090232,0,77,6
0.7,0.4,8,ACP-Gini,0.7866666666666666,0.7857142857142858,0.8360899915521764,0.8,0.08916598791198901,0,81,6
0.7,0.6,8,ACP-Gini,0.7833333333333333,0.7822664388838643,0.832999866613312,0.8,0.0917352176161244,0,81,6
0.7,0.8,8,ACP-Gini,0.7833333333333333,0.7822664388838643,0.832999866613312,0.8,0.0917352176161244,0,81,6
0.7,1.0,8,ACP-Gini,0.7833333333333333,0.7822664388838643,0.832999866613312,0.8,0.0917352176161244,0,81,6
