dataset,method,seed,fold,selected_alpha,selected_rrf_lambda,fold_tuned_alpha,fold_tuned_rrf_lambda,accuracy,macro_f1,auc,n_nodes,depth,vif_dropped,main_set_redundancy,main_weighted_redundancy,root_agreement,feature_set_jaccard,importance_rank_corr,top5_jaccard,structural_distance,bootstrap_set_redundancy,bootstrap_weighted_redundancy
WDBC,CART,42,0,0.2,0.7,0.2,0.7,0.9210526315789472,0.9147486497714998,0.9480838519489028,27,6,0,0.4598299606910768,0.5747660247667089,0.44,0.3345758866983356,0.3324083959724115,0.2663362487852284,0.8852099937794157,0.46106934888843,0.5609586872027538
WDBC,VIF+CART,42,0,0.2,0.7,0.2,0.7,0.8947368421052632,0.888961038961039,0.973960039305601,27,6,13,0.3629138028783636,0.528431992167927,0.38,0.3094064257737726,0.3233560996914216,0.2818467768059605,0.8741046022714668,0.2806869856493723,0.325491422483071
WDBC,RRF-style,42,0,0.2,0.7,0.2,0.7,0.9649122807017544,0.9629870129870132,0.9641336390435638,27,6,0,0.4879498445746878,0.6280330370111777,0.44,0.2586196162114529,0.2834168357128318,0.25267282150955617,0.8791675720263302,0.4542037149241972,0.551462236125898
WDBC,ACP-Gini,42,0,0.2,0.7,0.2,0.7,0.912280701754386,0.9074675324675324,0.9664264657713724,29,6,0,0.3064445952390178,0.4279522275104779,0.44,0.284509338600575,0.2491640785318583,0.2166504697116942,0.9014924845915177,0.3109327447908686,0.4727503296593079
WDBC,CART,42,1,0.2,0.7,0.2,0.9,0.9035087719298246,0.8946837994457042,0.9297412381264332,21,6,0,0.3566293441779228,0.7696611101148404,0.52,0.2872561463479831,0.3069185657454809,0.2641059280855199,0.891209806119549,0.4447657783601502,0.6701225539608512
WDBC,VIF+CART,42,1,0.2,0.7,0.2,0.9,0.8947368421052632,0.881578947368421,0.9073042908614476,25,5,13,0.3659620980715335,0.4582894689047906,0.56,0.3157878458076537,0.3044314341490231,0.2500168448331713,0.8895611140983665,0.2694814983903011,0.2991624020948547
WDBC,RRF-style,42,1,0.2,0.7,0.2,0.9,0.868421052631579,0.8509803921568628,0.936292171634458,19,5,0,0.4197731726073624,0.705875314872635,0.52,0.2325891251605537,0.2650466093515319,0.23313605442176874,0.8943991778739994,0.424309646990642,0.6434571957775945
WDBC,ACP-Gini,42,1,0.2,0.7,0.2,0.9,0.8859649122807017,0.8708496732026143,0.9154929577464788,19,5,0,0.2720953489724603,0.6289605343319085,0.52,0.2822497638416006,0.2940003413850903,0.2628756073858114,0.890014374637108,0.3325472478339529,0.619989351879754
WDBC,CART,42,2,0.2,0.7,0.2,0.5,0.9298245614035088,0.922051282051282,0.9327050264550264,27,6,0,0.4551986424538037,0.5888463550855364,0.7,0.3075469847612704,0.3184725348470659,0.2635050210560414,0.8772578550720209,0.4800345267679755,0.6163829560664413
WDBC,VIF+CART,42,2,0.2,0.7,0.2,0.5,0.9473684210526316,0.9422297297297296,0.9837962962962964,25,5,13,0.3296185803259879,0.5006403240090488,0.52,0.2838706350339003,0.2719068036197707,0.2414356980887593,0.8837864620667676,0.2846699438194529,0.365556830719559
WDBC,RRF-style,42,2,0.2,0.7,0.2,0.5,0.956140350877193,0.9526381387619444,0.9651124338624338,23,6,0,0.4684671535121859,0.4441405484596408,0.7,0.2308799952881585,0.2599744462685914,0.2318850016196955,0.886698212260853,0.4532713352314551,0.573870866615301
WDBC,ACP-Gini,42,2,0.2,0.7,0.2,0.5,0.9649122807017544,0.9619111259605746,0.976686507936508,23,6,0,0.3433256876714797,0.380162308765716,0.7,0.2584234668892531,0.2426098278616799,0.2271493359248461,0.8931903855571007,0.3300209576129058,0.5102634722049134
WDBC,CART,42,3,0.2,0.7,0.2,0.7,0.9298245614035088,0.9265700483091788,0.960648148148148,25,6,0,0.4993258140525733,0.7166163625754075,0.34,0.3003548036597256,0.2664469893191485,0.2291253644314869,0.9084559412889992,0.4561644672263032,0.6507781244590408
WDBC,VIF+CART,42,3,0.2,0.7,0.2,0.7,0.9298245614035088,0.925974025974026,0.9614748677248678,27,6,14,0.2751033545343943,0.4862802942703572,0.3,0.2863236559359008,0.2426423352320433,0.2388040168448331,0.8995158737840571,0.2778907448829474,0.3902452139662826
WDBC,RRF-style,42,3,0.2,0.7,0.2,0.7,0.9298245614035088,0.9265700483091788,0.968584656084656,27,6,0,0.5137300747034257,0.6602946506479139,0.34,0.239547513710779,0.246144287850487,0.22101976028506642,0.9142545826376814,0.4403805692824346,0.6152610278941263
WDBC,ACP-Gini,42,3,0.2,0.7,0.2,0.7,0.9298245614035088,0.9265700483091788,0.9756944444444444,25,6,0,0.392700919961199,0.7029059737063265,0.34,0.2702819576048867,0.2342767517202185,0.217168772270813,0.913559490454924,0.3358847912351528,0.5671256138641868
WDBC,CART,42,4,0.2,0.7,0.2,0.7,0.9469026548672568,0.9425813008130082,0.9694835680751176,25,6,0,0.5205283335367202,0.6293884879799336,0.36,0.3252004168966954,0.3127286900997365,0.2499241982507288,0.8960126749605819,0.493007756026674,0.6285206345907725
WDBC,VIF+CART,42,4,0.2,0.7,0.2,0.7,0.9469026548672568,0.943687707641196,0.9735077129443326,29,5,13,0.3379514192166405,0.5186372269101001,0.6,0.3380207581534112,0.3479721312126838,0.2831049562682215,0.8890390902797994,0.2979076674064511,0.3373449459337754
WDBC,RRF-style,42,4,0.2,0.7,0.2,0.7,0.9557522123893806,0.9518944231587908,0.9646210596914824,25,6,0,0.5045072220552187,0.6255943324484561,0.36,0.247517199353934,0.2683436032249145,0.2353349530288306,0.907979134327076,0.4878405669763696,0.6328915351191248
WDBC,ACP-Gini,42,4,0.2,0.7,0.2,0.7,0.9469026548672568,0.9425813008130082,0.9557344064386318,25,6,0,0.5205283335367202,0.6321856126318535,0.36,0.2608226327494035,0.2184263749372514,0.2196177518626498,0.9124980760905708,0.3470293496581385,0.5672895477068475
WDBC,CART,43,0,0.2,0.7,1.0,0.9,0.9298245614035088,0.9246031746031746,0.9402227317392728,21,5,0,0.3628791637572742,0.5952394387808934,0.4,0.2694770663510159,0.2628928172644146,0.2417557499190152,0.9107579132499524,0.468968429887531,0.6241803186850506
WDBC,VIF+CART,43,0,0.2,0.7,1.0,0.9,0.9736842105263158,0.9715828832571666,0.9864068129708484,25,5,13,0.3860426431241127,0.5080807834679749,0.52,0.3104758812615955,0.3337885357035587,0.2832254616132167,0.8878553701538907,0.2832505951286275,0.3590735832768164
WDBC,RRF-style,43,0,0.2,0.7,1.0,0.9,0.9473684210526316,0.9439895185063872,0.9415329184408778,23,5,0,0.3861573796340641,0.552021051029214,0.4,0.2260985930169604,0.240161847149374,0.22198250728862975,0.915850417184593,0.4765900232886448,0.6071681206345436
WDBC,ACP-Gini,43,0,0.2,0.7,1.0,0.9,0.9298245614035088,0.9246031746031746,0.9400589584015724,19,5,0,0.3493601209617203,0.5791278079383553,0.4,0.2452493088477482,0.2242656202660952,0.2106634272756721,0.91383614534199,0.3401788214432726,0.5410367596621525
WDBC,CART,43,1,0.2,0.7,0.2,0.7,0.9210526315789472,0.9155902920608804,0.9585653455617426,27,6,0,0.4504836048290781,0.6518248208021722,0.42,0.3058560792948548,0.2994296327725746,0.2583122772918691,0.9041174040455716,0.4607445363626087,0.6378635806581555
WDBC,VIF+CART,43,1,0.2,0.7,0.2,0.7,0.9385964912280702,0.9354943011882628,0.9611857189649524,27,5,13,0.3623733638098013,0.4708317866340789,0.52,0.3220576351086555,0.3216201974468554,0.2882896015549076,0.884646146621734,0.2854335329221092,0.3677187951507636
WDBC,RRF-style,43,1,0.2,0.7,0.2,0.7,0.9210526315789472,0.9170641015277664,0.9441532918440878,25,6,0,0.5509411305944398,0.5501259407445034,0.42,0.2609022587389934,0.2887264948535426,0.2576025267249757,0.9068259290385474,0.4441084823686357,0.6013142924325213
WDBC,ACP-Gini,43,1,0.2,0.7,0.2,0.7,0.9385964912280702,0.933693394266722,0.9649525057320668,25,6,0,0.3576840363505165,0.5876298768276845,0.42,0.2746761099378146,0.2572594611124215,0.236261742792355,0.9172229758908412,0.330011526143153,0.5522967953776721
WDBC,CART,43,2,0.2,0.7,0.2,0.7,0.912280701754386,0.9037162162162162,0.9161706349206348,21,5,0,0.3981857336566756,0.6157359375824251,0.52,0.3324536380652827,0.3469060536824105,0.2672108843537415,0.8789758261472737,0.4792463412740777,0.6206235384809041
WDBC,VIF+CART,43,2,0.2,0.7,0.2,0.7,0.8947368421052632,0.881578947368421,0.9553571428571428,27,6,13,0.3555198696858441,0.500836393005457,0.44,0.2865864702191232,0.2718893633201165,0.2389915775834143,0.8807863960756416,0.2957989729513162,0.3526646497142344
WDBC,RRF-style,43,2,0.2,0.7,0.2,0.7,0.8947368421052632,0.8869047619047619,0.9166666666666669,21,5,0,0.518186318436975,0.6600594921992512,0.52,0.3042960984593638,0.3566062326622164,0.2899225785552316,0.8611171202553966,0.4941489813570612,0.6292279907488711
WDBC,ACP-Gini,43,2,0.2,0.7,0.2,0.7,0.9035087719298246,0.8921475875118259,0.91385582010582,21,5,0,0.3519493629574954,0.5821798056278223,0.52,0.3005560176784667,0.3004113848110067,0.2519080012957563,0.8822809857349885,0.3458937534563077,0.5441701569931773
WDBC,CART,43,3,0.2,0.7,0.6,0.5,0.9298245614035088,0.922972972972973,0.9680886243386244,25,6,0,0.5139252043716027,0.6372661531290542,0.42,0.3083285812493495,0.2946736190244836,0.2359118885649498,0.9061513291368865,0.4590401727082934,0.6359789725701788
